asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,trend_pullback,1d,60,0.1,0.2,60,trail10_TP20_hold60,10556,42.2,2.25,-100.0,7.71,1.47,7448,48.3,4.58,-99.6,13.91,2.06,0.804
kr,trend_pullback,1d,60,0.1,0.25,60,trail10_TP25_hold60,10556,42.2,2.33,-100.0,7.62,1.48,7448,48.1,5.0,-99.5,14.49,2.15,0.902
kr,trend_pullback,1d,60,0.1,0.3,60,trail10_TP30_hold60,10556,42.2,2.48,-100.0,7.75,1.52,7448,48.1,5.41,-99.5,15.01,2.25,0.937
kr,trend_pullback,1d,60,0.1,0.4,60,trail10_TP40_hold60,10556,42.2,2.63,-100.0,7.77,1.55,7448,48.0,5.77,-99.7,15.17,2.33,0.952
kr,trend_pullback,1d,60,0.1,0.5,60,trail10_TP50_hold60,10556,42.2,2.82,-100.0,7.89,1.59,7448,48.0,6.15,-99.4,15.4,2.42,0.952
kr,trend_pullback,1d,60,0.1,,60,trail10_TPoff_hold60,10556,42.2,3.03,-100.0,7.62,1.63,7448,48.0,6.85,-99.5,14.8,2.58,0.942
kr,trend_pullback,1d,60,0.15,0.2,60,trail15_TP20_hold60,10556,46.8,3.28,-100.0,9.9,1.57,7448,52.2,5.91,-99.7,16.62,2.13,0.679
kr,trend_pullback,1d,60,0.15,0.25,60,trail15_TP25_hold60,10556,46.2,3.45,-100.0,9.82,1.6,7448,51.1,6.53,-99.7,17.32,2.24,0.764
kr,trend_pullback,1d,60,0.15,0.3,60,trail15_TP30_hold60,10556,46.2,3.68,-100.0,9.95,1.64,7448,50.6,7.06,-99.9,17.81,2.33,0.79
kr,trend_pullback,1d,60,0.15,0.4,60,trail15_TP40_hold60,10556,46.2,4.02,-100.0,10.13,1.7,7448,50.3,7.45,-99.9,17.62,2.4,0.739
kr,trend_pullback,1d,60,0.15,0.5,60,trail15_TP50_hold60,10556,46.2,4.33,-100.0,10.24,1.75,7448,50.3,7.8,-100.0,17.53,2.47,0.712
kr,trend_pullback,1d,60,0.15,,60,trail15_TPoff_hold60,10556,46.2,4.86,-100.0,9.74,1.84,7448,50.3,8.84,-100.0,13.11,2.66,0.346
kr,trend_pullback,1d,60,0.2,0.2,60,trail20_TP20_hold60,10556,52.5,3.74,-100.0,10.68,1.61,7448,59.7,7.21,-99.8,19.71,2.36,0.846
kr,trend_pullback,1d,60,0.2,0.25,60,trail20_TP25_hold60,10556,49.9,3.92,-100.0,10.52,1.63,7448,56.8,7.88,-99.9,20.25,2.44,0.925
kr,trend_pullback,1d,60,0.2,0.3,60,trail20_TP30_hold60,10556,49.1,4.21,-100.0,10.73,1.68,7448,54.8,8.39,-100.0,20.41,2.52,0.902
kr,trend_pullback,1d,60,0.2,0.4,60,trail20_TP40_hold60,10556,49.1,4.6,-100.0,10.89,1.74,7448,54.1,8.91,-100.0,20.1,2.6,0.846
kr,trend_pullback,1d,60,0.2,0.5,60,trail20_TP50_hold60,10556,49.1,4.9,-100.0,10.91,1.79,7448,54.0,9.31,-100.0,19.87,2.67,0.821
